ROUTE,avg_dep_delay,cancel_rate,flight_count,risk_score
DFW-DCA,16.80223880597015,0.017412935323383085,804,0.5059830468296993
DFW-DEN,16.271560940841056,0.01781895937277263,1403,0.47332659146782596
DFW-DTW,15.173177083333334,0.01171875,768,0.13980120515239788
DFW-ELP,17.146417445482864,0.014018691588785047,642,0.4071996296564464
DFW-EWR,13.188769414575866,0.02031063321385902,837,0.2887166941217939
DFW-FLL,16.788535031847132,0.011464968152866241,785,0.2768371654602762
DFW-HOU,7.017208413001912,0.028680688336520075,523,0.04871803976504929
DFW-IAH,16.064124783362217,0.016464471403812825,1154,0.40258220468158823
DFW-ICT,9.767213114754098,0.01639344262295082,610,-0.1722314154666144
DFW-LAS,22.870611183355006,0.01235370611183355,1538,0.8634635207253493
DFW-LAX,15.629514321295144,0.0037359900373599006,1606,-0.12460475383845043
DFW-LBB,19.919224555735056,0.027463651050080775,619,1.1742707157326007
DFW-LGA,15.909219858156028,0.014184397163120567,1410,0.3011458906303567
DFW-LIT,7.183703703703704,0.02074074074074074,675,-0.24038048546411317
DFW-MAF,5.079147640791477,0.0213089802130898,657,-0.40981278606632177
DFW-MCI,14.975609756097562,0.006968641114982578,574,-0.06015235104094524
DFW-MCO,22.834848484848486,0.010606060606060607,1320,0.7932520215253187
DFW-MEM,12.550094517958412,0.020793950850661626,529,0.24920996751848923
DFW-MFE,17.486166007905137,0.009881422924901186,506,0.27954416612454147
DFW-MIA,21.104231974921632,0.013322884012539185,1276,0.7401177952576093
DFW-MSP,14.656023222060957,0.002902757619738752,689,-0.24497508199636475
DFW-MSY,18.93234100135318,0.005412719891745603,739,0.23971149106704265
DFW-OKC,12.719020172910662,0.021613832853025938,694,0.2959717356289912
DFW-ONT,18.45303867403315,0.007366482504604052,543,0.27102541967950206
DFW-ORD,12.625179856115109,0.013669064748201438,1390,-0.01696371167560018
DFW-PDX,20.5562015503876,0.02131782945736434,516,0.9966600668457452
DFW-PHL,14.605540897097626,0.014511873350923483,758,0.1952504954571448
DFW-PHX,18.707727620504972,0.006885998469778117,1307,0.2757545165714267
DFW-RDU,19.85880077369439,0.013539651837524178,517,0.6352724980035229
DFW-SAN,15.34691629955947,0.009911894273127754,908,0.08635485857212447
DFW-SAT,22.0,0.017159199237368923,1049,0.9684921501650319
DFW-SDF,12.875494071146244,0.011857707509881422,506,-0.0636254835013175
DFW-SEA,13.91710388247639,0.02833158447009444,953,0.6622167308937097
DFW-SFO,22.79363336992316,0.009879253567508232,911,0.7616593519679782
DFW-SGF,7.39766081871345,0.027777777777777776,684,0.04868750856134624
DFW-SLC,17.296032553407937,0.009155645981688708,983,0.23446131632615963
DFW-SNA,9.329545454545455,0.009943181818181818,704,-0.4591413658462197
DFW-STL,18.763809523809524,0.011428571428571429,525,0.45490182911198274
DFW-TPA,21.566451612903226,0.012903225806451613,775,0.7660322255274458
DFW-TUL,15.576642335766424,0.021897810218978103,685,0.566475536950985
DFW-TUS,14.223958333333334,0.005208333333333333,576,-0.19588951480336034
DFW-XNA,13.767105263157895,0.019736842105263157,760,0.3192748894440073
DSM-DEN,12.319569120287253,0.03590664272890485,557,0.8073202930413023
DTW-ATL,12.512755102040817,0.004251700680272109,1176,-0.3880112339428492
DTW-BOS,10.073770491803279,0.009836065573770493,610,-0.3956306721970825
DTW-CLT,9.861858190709047,0.009779951100244499,818,-0.4170335679699336
DTW-DCA,8.177177177177176,0.015015015015015015,666,-0.36950613819484257
DTW-DEN,8.01585014409222,0.007204610951008645,694,-0.6834246833726869
DTW-DFW,11.179818887451487,0.0129366106080207,773,-0.17634334605289925
DTW-EWR,7.1936339522546415,0.011936339522546418,754,-0.5768255777281066
DTW-FLL,13.87887323943662,0.008450704225352112,710,-0.10300757423799056
DTW-LAS,17.9703125,0.0046875,640,0.12452115361677268
DTW-LAX,12.59016393442623,0.00546448087431694,549,-0.3345098350285919
DTW-LGA,7.4361593462717055,0.01940755873340143,979,-0.26852605741560975
DTW-MCO,19.54424778761062,0.011504424778761062,1130,0.5287132142589989
DTW-MDW,10.764822134387352,0.025691699604743084,506,0.2746739038157317
DTW-MIA,13.565055762081784,0.01486988847583643,538,0.11443712053453114
DTW-MSP,7.357552581261951,0.0019120458891013384,523,-0.9460214927804818
DTW-ORD,13.420963651732883,0.028740490278951817,1183,0.6328085333440049
DTW-PHL,11.695324283559577,0.013574660633484163,663,-0.10506086525089114
DTW-PHX,22.8953488372093,0.005813953488372093,516,0.6151354443380618
DTW-RSW,10.830319888734353,0.008344923504867872,719,-0.38403027079138974
DTW-TPA,20.649425287356323,0.007183908045977011,696,0.46357782984794155
ECP-ATL,7.139165009940358,0.0,503,-1.0391240991221329
ELP-DFW,16.18153364632238,0.014084507042253521,639,0.32205899715906977
ELP-PHX,5.272435897435898,0.004807692307692308,624,-1.024511316043601
EWR-ATL,10.743045387994144,0.01171303074670571,1366,-0.2629078310155536
EWR-BOS,7.275189599133261,0.01733477789815818,923,-0.36257077414956884
EWR-CLT,12.940628637951106,0.012805587892898719,859,-0.021389072421176603
EWR-CVG,6.394230769230769,0.019230769230769232,520,-0.36996201637491055
EWR-DEN,7.925076452599388,0.08103975535168195,654,2.1373776022133493
EWR-DFW,13.138055222088836,0.01920768307322929,833,0.24184879962510217
EWR-DTW,9.01726427622842,0.014608233731739707,753,-0.3087679994945837
EWR-FLL,15.02870189171559,0.046314416177429873,1533,1.4522343104543936
EWR-IAH,9.263414634146342,0.04390243902439024,820,0.8360250550179035
EWR-IND,1.087378640776699,0.015533980582524271,515,-0.993749676573648
EWR-LAS,12.511267605633803,0.028169014084507043,710,0.528263552230854
EWR-LAX,13.590176515732924,0.0283960092095165,1303,0.6349829445868878
EWR-MCO,13.57504123144585,0.032435404068169325,1819,0.7883803267578144
EWR-MIA,11.88630904723779,0.04723779023218575,1249,1.2021188751117282
EWR-MSP,10.444007858546168,0.015717092337917484,509,-0.1366575854829518
